Title,Date,Start Time,End Time,Location,Description,Event Type,Dress Code
Drive Up from LA,5/22,8:00 AM,11:30 AM,US-101 North,"Hit the road! ~3.5 hours up the 101. Stop in Buellton for coffee at Industrial Eats if needed.",travel,casual
Check In & Settle,5/22,12:00 PM,1:00 PM,Paso Robles (your rental/hotel),"Drop bags, get settled, explore the property.",downtime,casual
Lunch at Fish Gaucho,5/22,1:15 PM,2:30 PM,"Fish Gaucho, 1244 Park St, Paso Robles","Upscale Mexican seafood right on the town square. Great ceviche and margs to kick off the trip.",dining,smart_casual
DAOU Vineyards Tasting,5/22,3:00 PM,4:30 PM,"DAOU Vineyards, 2777 Hidden Mountain Rd","Hilltop winery with incredible 360° views. Known for bold Cabernets. Reserve the Estate tasting.",activity,smart_casual
Tin City Exploration,5/22,5:00 PM,7:00 PM,"Tin City, 3100 Limestone Way, Paso Robles","Walk around this funky industrial wine/beer/spirits district. Hit Giornata for Italian-style wines, Tin City Cider, and BarrelHouse Brewing.",activity,casual
Dinner at The Hatch,5/22,7:30 PM,9:30 PM,"The Hatch Rotisserie & Bar, 835 12th St","Rotisserie meats, craft cocktails, lively atmosphere. Great group dinner spot to start the trip right.",dining,smart_casual
Downtown Paso Night Walk,5/22,9:30 PM,11:00 PM,"Downtown Paso Robles, Park St","Stroll the square, grab dessert or a nightcap. Check if any live music is happening at The Pour House.",nightlife,casual
Breakfast at General Store,5/23,8:30 AM,9:30 AM,"General Store Paso Robles, 841 12th St","Coffee, pastries, and breakfast sandwiches. Casual morning fuel.",dining,casual
Justin Vineyards Tasting,5/23,10:00 AM,11:30 AM,"JUSTIN Vineyards, 11680 Chimney Rock Rd","Iconic Paso winery. The Isosceles is a must-try. Beautiful grounds.",activity,smart_casual
Lunch at Tin City - Etto Pastificio,5/23,12:00 PM,1:15 PM,"Etto Pastificio, 3060 Limestone Way","Fresh handmade pasta in Tin City. Small menu, everything is great. Get the cacio e pepe.",dining,casual
Sensorio Field of Light,5/23,1:30 PM,3:00 PM,"Sensorio, 4380 Hwy 46 East","Bruce Munro's massive light installation across rolling hills. Even the daytime walk-through of the grounds is cool. Book timed entry.",activity,casual
Pool / Downtime,5/23,3:30 PM,5:30 PM,Your rental/hotel,"Recharge at the pool or just hang. Rest up before a big night.",downtime,swimwear
Dinner at Thomas Hill Organics,5/23,6:30 PM,8:30 PM,"Thomas Hill Organics, 1305 Park St","Farm-to-table right on the square. Great seasonal menu, solid wine list. Make a reservation.",dining,smart_casual
Drinks at Eleven Twenty-Two,5/23,9:00 PM,11:00 PM,"Eleven Twenty-Two Speakeasy, 1122 Pine St","Speakeasy-style cocktail bar. Ring the doorbell to enter. Amazing cocktails and vibe.",nightlife,smart_casual
Coffee at Spearhead,5/24,8:30 AM,9:15 AM,"Spearhead Coffee, 826 12th St","Excellent local roaster. Grab a cortado or cold brew before the day starts.",dining,casual
Tablas Creek Vineyard,5/24,10:00 AM,11:30 AM,"Tablas Creek Vineyard, 9339 Adelaida Rd","Rhône-style wines, organic/biodynamic farming. One of the best in the region. The Esprit de Tablas is the flagship.",activity,smart_casual
Lunch at Paso Market Walk,5/24,12:00 PM,1:15 PM,"Paso Market Walk, 1803 Spring St","Food hall with multiple options — tacos, sushi, burgers, wine bar. Everyone can pick what they want.",dining,casual
Eberle Winery Cave Tour,5/24,2:00 PM,3:30 PM,"Eberle Winery, 3810 Hwy 46 East","Free cave tours! Walk through 16,000 sq ft of underground caves, then taste in their hilltop room.",activity,casual
Hike at Cerro San Luis (Madonna Mountain),5/24,4:00 PM,5:30 PM,"Cerro San Luis Natural Reserve, San Luis Obispo","Quick 20-min drive to SLO for a moderate 3.5-mile hike with panoramic views. Great golden hour vibes.",outdoors,active
Dinner at Buena Tavola,5/24,7:00 PM,9:00 PM,"Buena Tavola, 943 Spring St, Paso Robles","Northern Italian fine dining. One of the best restaurants in Paso. Truffle pasta, handmade gnocchi. This is the splurge dinner.",dining,formal
Live Music Downtown,5/24,9:30 PM,11:30 PM,"Downtown Paso Robles","Check local listings — The Pour House, Libretto, or patio bars on the square usually have Saturday night live music.",nightlife,casual
Sleep In / Lazy Morning,5/25,9:00 AM,10:00 AM,Your rental/hotel,"No alarm. Coffee on the patio. Enjoy the last morning.",downtime,casual
Brunch at Kitchenette,5/25,10:30 AM,11:45 AM,"Kitchenette, 1140 Pine St, Paso Robles","Fantastic brunch spot. Chicken and waffles, breakfast burritos. Get there a little early to avoid the wait.",dining,casual
Pack Up & Check Out,5/25,12:00 PM,12:45 PM,Your rental/hotel,"Pack up, load the car, last group photos.",travel,casual
Stop in SLO for a Walk,5/25,1:15 PM,2:30 PM,"Downtown San Luis Obispo, Higuera St","Quick stop to walk Higuera Street, grab ice cream at Doc Burnstein's, see the Bubblegum Alley.",activity,casual
Drive Home to LA,5/25,2:30 PM,6:00 PM,US-101 South,"~3.5 hours back. Beat Sunday evening traffic by leaving before 3pm if possible.",travel,casual
