Idea,Details,Link
that waterfall hike everyones posting about,,
Jet Ski Rentals,"half day is like $200, full day $350. need to book 2 days out",https://example.com/jetski-rental
kayak thing?,,
Sunrise Yoga on the Beach,"Free class every morning at 7am on the south shore. Mats provided.",https://example.com/beach-yoga
Food Truck Alley,"Open Thursday–Sunday evenings. The jerk chicken truck is supposedly life-changing.",
Escape Room — Pirate's Cove,"Group rate: $25/person for 6+. Book the 2pm slot so we're out before dinner.",https://example.com/pirate-escape
matching hats for the crew lol,,
Rooftop Bar at Hotel Mariana,"$15 cocktails but the view is unreal. Gets packed after 9pm so go early.",https://example.com/rooftop-bar
Souvenir Shopping — Old Town,"Handmade ceramics + hot sauce shops. Cash only at most stalls.",
Bonfire Night — Last Evening,"Check if beach permits are needed. Bring speaker, marshmallows, blankets.",
spa day? maybe just the girls,,
Glass Bottom Boat Tour,"Leaves from the main pier at 10am and 2pm. ~90 min. $30/person.",https://example.com/glass-boat
group dinner somewhere nice on night 2,"need recs, maybe ask the hotel concierge",
Zip Line Adventure Park,"Full course takes 2 hours. Weight limit 250lbs. Closed-toe shoes required.",https://example.com/zipline-park
